word,late,age,links
#NAME?,-,-,Latin
#NAME?,-,-,Latin%PIE
#NAME?,-,-,Latin
#NAME?,-,-,Latin
#NAME?,-,-,Latin
#NAME?,-,-,Greek
#NAME?,,1,Latin
#NAME?,-,-,Latin
#NAME?,-,-,Late Latin%Latin
-al (1),,2,Latin
-al (2),-,-,Latin
#NAME?,-,-,Greek
#NAME?,,1850,French
#NAME?,-,-,Latin
#NAME?,,1500,Latin
#NAME?,-,-,Latin
#NAME?,-,-,Latin
#NAME?,-,-,Latin
#NAME?,-,-,Greek
#NAME?,-,-,Latin%Greek
#NAME?,-,-,Old French%German
#NAME?,-,-,Latin
#NAME?,-,-,French%Latin%Greek
#NAME?,-,-,Greek
-ate (3),,1,Latin
#NAME?,-,-,Latin
a (2),,18,Old English
a la,late ,16,French
a la carte,,1826,French
a la mode,,1640,French
a- (2),-,-,Latin
a- (3),-,-,Greek%PIE
A.D.,,1570,Latin
aardvark (n.),,1833,Afrikaans Dutch
Aaron,,1540,Hebrew
ab-,-,-,Latin%PIE
aback (adv.),,1200,Old English
abacus (n.),late ,14,Latin%Greek%Hebrew
Abaddon,late ,14,Hebrew
abaft (adv.),,1590,Middle English
abalienate (v.),,1550,Latin
abalienation (n.),,1650,Latin
abalone (n.),,1850,Spanish
abandon (v.),late ,14,Old French%Latin
abandonment (n.),,1610,French
abase (v.),late ,14,Old French%Vulgar Latin%Late Latin
abash (v.),early ,15,Old French%Latin
abate (v.),,1300,Old French%Vulgar Latin%Latin
abatement (n.),mid-,14,Old French
abatis (n.),,1766,French%Old French
abattoir (n.),,1820,French
Abba,-,-,Latin%Greek%Aramaic
abbe (n.),,1520,French%Late Latin
abbess (n.),,1300,Old French%Late Latin
abbey (n.),mid-,13,Anglo-French%Late Latin
abbot (n.),-,-,Old English%Latin%Greek%Aramaic
abbreviate (v.),mid-,15,Latin
abbreviation (n.),mid-,15,Middle French%Late Latin%Latin
abdicate (v.),,1540,Latin
abdication (n.),,1550,Latin
abdomen (n.),,1540,Latin
abduce (v.),,1530,Latin
abducent (adj.),,1713,Latin
abduction (n.),,1620,Latin
abecedary (n.),mid-,15,Medieval Latin
abed (adv.),,1,Old English
Abel,-,-,Hebrew
aberrant (adj.),,1798,Latin
aberration (n.),,1590,Latin
abet (v.),late ,14,Old French%Proto-Germanic%PIE
abeyance (n.),,1520,Anglo-French%Old French%Latin
abhor (v.),mid-,15,Latin%PIE
abhorrent (adj.),,1610,Latin
Abigail,,1660,Hebrew
ability (n.),late ,14,Old French%Latin
Abitur (n.),,1863,Modern Latin
abject (adj.),early ,15,Latin
abjection (n.),early ,15,Old French%Latin
abjuration (n.),mid-,15,Latin
abjure (v.),early ,15,Middle French%Latin
ablation (n.),early ,15,Latin
ablative (n.),mid-,15,Middle French%Latin
ablaut (n.),,1849,German
able (adj.),early ,14,Old French%Latin
ablution (n.),late ,14,Latin
Abnaki,,1721,French
abnegate (v.),,1650,Latin
abnegation (n.),late ,14,Latin
Abner,-,-,Hebrew
aboard (adv.),late ,14,Old French%Frankish
abolish (v.),mid-,15,Middle French%Latin%PIE
abolition (n.),,1520,Middle French%Latin
abominable (adj.),mid-,14,Old French%Late Latin
abominate (v.),,1640,Latin
abomination (n.),early ,14,Old French%Latin
aborigine (n.),,1858,Latin
abort (v.),,1570,Latin
abortifacient (n.),,1875,Latin
abortion (n.),,1540,Latin
abortive (adj.),late ,14,Latin
abound (v.),early ,14,Old French%Latin%Latin
above (adv.),,1590,Old English%Proto-Germanic%PIE
abrade (v.),,1670,Latin
Abraham,-,-,Hebrew
abrasion (n.),,1650,Medieval Latin
abrasive (adj.),,1805,Latin
abridge (v.),,1300,Old French%Late Latin
abridgement (n.),late ,15,Old French
abroad (adv.),mid-,13,Old English
abrogate (v.),,1520,Latin
abrogation (n.),,1530,Latin
abrupt (adj.),,1580,Latin
Absalom,-,-,Hebrew
abscess (n.),,1610,Latin
abscind (v.),,1650,Latin
abscissa (n.),,1690,Latin
abscission (n.),early ,15,Latin
abscond (v.),,1560,Middle French%Latin%PIE
absence (n.),late ,14,Old French%Latin
absent (adj.),late ,14,Middle French%Latin
absent (v.),,1400,Middle French%Late Latin%Latin
absinthe (n.),,1842,French%Latin%Greek
absolute (adj.),late ,14,Middle French%Latin
absolution (n.),,1200,Old French%Latin
absolve (v.),early ,15,Latin
absorb (v.),early ,15,Middle French%Latin%PIE
absorbent,,1718,Latin
absorption (n.),,1590,Latin
abstain (v.),late ,14,Old French%Latin
abstemious (adj.),,1600,Latin
abstention (n.),,1520,Middle French%Late Latin
abstinence (n.),mid-,14,Old French%Latin
abstinent (adj.),late ,14,Old French%Latin
abstract (adj.),late ,14,Latin
abstract (v.),,1540,Latin
abstraction (n.),,1400,Old French%Latin
abstruse (adj.),,1590,Middle French%Latin
absurd (adj.),,1550,Middle French%Latin
absurdity (n.),late ,15,Middle French%Late Latin%Latin
abundance (n.),mid-,14,Old French%Latin
abundant (adj.),late ,14,Old French%Latin
abuse (v.),early ,15,Middle French%Vulgar Latin%Latin
abuse (n.),mid-,15,Old French%Latin
abusive (adj.),,1530,Middle French%Latin
abut (v.),mid-,13,Old French
abysm (n.),,1300,Old French%Vulgar Latin
abyss (n.),late ,14,Late Latin%Greek
Abyssinia (n.),,1630,Modern Latin%Arabic%Amharic
acacia (n.),,1540,Latin%Greek%PIE
academic (adj.),,1580,Latin
academy (n.),late ,15,French%Latin%Greek
Acadian,,1705,Greek
acanthus (n.),,1660,Latin%Greek
accede (v.),early ,15,Latin
accelerant (n.),,1854,Latin
accelerate (v.),,1520,Latin
acceleration (n.),,1530,Latin
accelerator (n.),,1610,Latin
accent (n.),late ,14,Middle French%Old French%Latin
accent (v.),,1520,Middle French%Old French
accentuate (v.),,1731,Medieval Latin%Latin
accentuation (n.),,1690,Medieval Latin
accept (v.),late ,14,Old French%Latin
acceptability (n.),,1660,Late Latin%Latin
acceptable (adj.),late ,14,Old French%Latin
acceptance (n.),,1570,Middle French
access (n.),early ,14,Old French%Latin
accessible (adj.),,1400,Middle French%Late Latin%Latin
accession (n.),,1640,Latin
accessory (n.),early ,15,Late Latin
accessory (adj.),,1550,Late Latin
accidence (n.),late ,14,Latin
accident (n.),late ,14,Old French%Latin
accidental (adj.),late ,14,Old French%Medieval Latin%Latin
acclaim (v.),early ,14,Latin
acclamation (n.),,1540,Latin
acclimate (v.),,1792,French
acclivity (n.),,1610,Latin%PIE
accolade (n.),,1620,French%Vulgar Latin%Latin
accommodate (v.),,1530,Latin
accommodation (n.),,1600,French%Latin
accompaniment (n.),,1744,French
accompany (v.),early ,15,Middle French%Old French
accomplice (n.),,1580,Old French%Late Latin%Latin
accomplish (v.),late ,14,Old French%Vulgar Latin%Latin
accomplishment (n.),early ,15,Old French
accord (v.),early ,12,Old French%Vulgar Latin%Latin
accord (n.),late ,13,Old French
accordance (n.),,1300,Old French
accordion (n.),,1831,German
accost (v.),,1570,Middle French%Italian%Late Latin%Latin
accouchement (n.),,1803,French
accoucheur (n.),,1759,French%Old French%Latin
account (n.),,1300,Old French%Late Latin%Latin
account (v.),,1300,Old French
accountant (n.),mid-,15,Old French
accouter (v.),,1590,French%Vulgar Latin%Latin%Latin
accoutrements (n.),,1540,Middle French%Old French
accredit (v.),,1610,French
accretion (n.),,1610,Latin
accrue (v.),mid-,15,Old French%Latin
accumulate (v.),,1520,Latin
accumulation (n.),late ,15,Latin
accurate (adj.),,1610,Latin
accusation (n.),late ,14,Old French%Latin
accusative (n.),mid-,15,Anglo-French%Latin
accusatory (adj.),,1600,Latin
accuse (v.),,1300,Old French%Latin
accustom (v.),early ,15,Old French
ace (n.),,1300,Old French%Latin
Aceldama,late ,14,Greek
acephalous (adj.),,1731,French%Late Latin%Greek
acerbic (adj.),,1865,Latin
acerbity (n.),,1570,Middle French%Latin%Proto-Italic%PIE
acetate (n.),,1827,Latin
acetic (adj.),,1808,French%Latin
acetone (n.),,1839,Latin
acetylene (n.),,1864,French
Achates,-,-,Greek
ache (v.),,1700,Old English%Proto-Germanic
ache (n.),early ,15,Old English%Proto-Germanic
achieve (v.),early ,14,Old French%Late Latin
achievement (n.),late ,15,Middle French%Old French
Achilles tendon,,1,Modern Latin
achromatic (adj.),,1766,Greek
achtung,-,-,German%Old High German
acid (adj.),,1620,French%Latin%PIE
acidity (n.),,1610,French%Latin%Latin
acidophilus (adj.),,1920,Latin
acidulous (adj.),,1769,Latin
acme (n.),,1560,Greek%PIE
acolyte (n.),early ,14,Old French%Medieval Latin%Greek%PIE
acomia (n.),,3,Greek
aconite (n.),,1570,French%Latin%Greek
acorn (n.),,15,Old English
acoustic (adj.),,1600,French%Greek%PIE
acquaint (v.),early ,13,Old French%Vulgar Latin%Latin
acquaintance (n.),,1300,Old French
acquiesce (v.),,1610,Middle French%Latin
acquiescence (n.),,1630,French
acquiescent (adj.),,1690,Latin
acquire (v.),mid-,15,Old French%Vulgar Latin%Latin
acquisition (n.),late ,14,Old French%Latin
acquisitive (adj.),,1630,Latin
acquit (v.),early ,13,Old French
acre (n.),,40,Old English%Proto-Germanic%PIE
